,0,1,2,3,4,5,6,7
0,36.177068764576305,52.280558153945265,[223.42132472],0.0,0.0,0.0,0.0,9.134110349721452
0,35.558762829460946,28.488786962480358,[133.10872721],0.0,0.0,0.0,0.0,6.782232134339708
0,37.31490768947854,45.884059986721994,[37.65523072],0.0,0.0,0.0,0.0,4.697535646642467
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,61.19657663837891,35.83280739453825,[96.48149184],0.0,0.0,0.0,0.0,9.39116576159227
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,85.8270762138392,3.7577761141012354,[14.64650007],0.0,0.0,0.0,0.0,7.06274543243089
0,52.749902366902575,39.03016472455548,[72.67316937],0.0,0.0,0.0,0.0,6.580593811370126
0,52.897217421371685,42.91883926197694,[147.64146863],0.0,0.0,0.0,0.0,0.0
0,48.503341558125236,14.594303361953413,[27.78300738],0.0,0.0,0.0,0.0,6.857212413686412
0,35.876388408045635,55.90216064265726,[121.39511006],0.0,0.0,0.0,0.0,8.108476069395403
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,74.92054672626895,19.46672932399336,[61.912906],0.0,0.0,0.0,0.0,3.2787116755274623
0,104.13469875625918,36.05996342611925,[45.12295619],0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,38.09477658667723,45.00891302611168,[49.60524498],1.144148105427254,0.0,0.0,0.0,0.0
0,57.403762877166606,42.050498196142584,[23.27625086],0.0,0.0,0.0,0.0,7.537803740070594
0,45.784815357127755,44.303529396062636,[107.1885588],0.0,0.0,0.0,0.0,0.0
0,59.43378880496206,30.314919305370083,[92.15903499],0.0,0.0,0.0,0.0,8.454977338583307
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,79.69907564727269,30.262729261426166,[125.48256378],0.0,0.0,0.0,2.1030931638686536,2.860862624501226
0,26.62234125645933,39.52086279806428,[20.89961624],0.0,0.0,0.0,0.0,8.433025030560339
0,71.51597776930979,25.81529516474341,[42.63435595],0.0,0.0,0.0,0.0,2.5720919000847413
0,49.40569783952624,40.98408070680968,[17.06034601],0.0,0.0,0.0,0.0,0.0
0,104.78691587690578,41.37827687004513,[41.38627444],0.0,0.0,0.0,0.0,0.0
0,43.718817763646626,60.00946472405669,[185.892584],0.0,0.0,0.0,0.0,4.564072679260203
0,73.24161693032272,31.41954053912542,[22.46572568],0.0,0.0,0.0,3.3024586879199287,2.4076056641011943
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,64.9908786875568,49.29778257903313,[94.98622233],0.0,0.0,0.0,5.175317424511044,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,77.75427752318262,40.01560413803189,[203.40784442],0.0,0.0,0.0,0.0,0.0
0,64.32451688042109,32.46232938706615,[138.19550634],0.0,0.0,0.0,0.0,12.674183012016565
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,57.26472992955027,44.167180624321034,[89.72100768],0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,61.352452200607935,39.289261495885505,[155.54367761],0.0,0.0,0.0,0.0,4.4573396243449235
0,46.85300256102297,56.7533153907945,[100.76114891],0.0,0.0,0.0,0.0,7.5525783445532495
0,60.11104682698202,54.0473230051055,[54.14644108],0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
